ticker,name,market_cap,sector,industry,website,employees,price,sma50,sma200,disparity_200,rsi14,rsi14_prev,rsi14_min_10,bb_upper,bb_lower,vol_ratio,tenkan,kijun,cloud_top,cloud_bot,c1_below_sma200,c4_bb_signal,c5_volume,c6a_tenkan_cross,c6b_below_cloud,c6c_cloud_breakout,c6d_inside_cloud,shares
KLAC,KLA Corporation,234815884010.0,Technology,Semiconductor Equipment & Materials,https://www.kla.com,15000.0,1791.44,1516.37,1213.831,47.586,68.808,65.148,56.461,1857.829,1339.271,0.785,1652.64,1586.215,1451.833,1430.628,False,False,False,False,False,False,False,131076611
MPWR,Monolithic Power Systems,72122415300.0,Technology,Semiconductors,https://www.monolithicpower.com,4501.0,1468.35,1160.446,971.584,51.129,78.029,74.455,60.701,1490.981,921.776,1.125,1316.2,1236.626,1096.707,1079.118,False,False,False,False,False,False,False,49118000
AMAT,Applied Materials,315015500607.0,Technology,Semiconductor Equipment & Materials,https://www.appliedmaterials.com,35500.0,396.94,358.273,258.762,53.4,63.479,61.002,51.794,416.235,320.515,0.929,376.395,363.99,344.58,325.796,False,False,False,False,False,False,False,793609867
MRNA,Moderna,21304646227.0,Healthcare,Biotechnology,https://www.modernatx.com,4700.0,53.72,50.321,34.8,54.369,56.951,60.349,45.007,55.05,47.783,2.152,51.729,51.825,50.961,44.305,False,False,False,False,False,False,False,396586862
SATS,EchoStar,20984223755.0,Communication Services,Telecom Services,https://www.echostar.com,12100.0,133.21,115.371,83.038,60.421,64.086,63.507,54.202,137.327,105.75,0.654,126.69,120.005,117.665,113.54,False,False,False,False,False,False,False,157527391
ALB,Albemarle Corporation,23312131904.0,Basic Materials,Specialty Chemicals,https://www.albemarle.com,7800.0,197.75,173.214,123.259,60.435,59.628,72.436,49.884,202.879,156.521,1.915,193.28,185.2,175.523,172.922,False,False,False,False,False,False,False,117886887
LRCX,Lam Research,334171119600.0,Technology,Semiconductor Equipment & Materials,https://www.lamresearch.com,19700.0,267.6,231.584,165.98,61.224,64.6,62.103,49.677,282.759,193.08,0.845,245.0,236.05,221.086,213.464,False,False,False,False,False,False,False,1248771000
KEYS,Keysight Technologies,57340144178.0,Technology,Scientific & Technical Instruments,https://www.keysight.com,16600.0,334.34,282.814,207.247,61.324,70.464,68.846,57.488,345.062,261.066,1.066,313.585,302.235,278.298,260.04,False,False,False,False,False,False,False,171502495
MRVL,Marvell Technology,122153072244.0,Technology,Semiconductors,https://www.marvell.com,7480.0,139.69,94.003,84.042,66.214,82.326,79.703,68.99,145.009,76.587,0.975,122.938,112.499,83.965,82.829,False,False,False,False,False,False,False,874458245
FIX,Comfort Systems USA,58070082014.0,Industrials,Engineering & Construction,https://comfortsystemsusa.com,22700.0,1650.47,1414.772,989.17,66.854,66.021,63.031,53.94,1711.233,1254.328,1.066,1535.975,1463.475,1310.034,1215.534,False,False,False,False,False,False,False,35183967
VRT,Vertiv,117587811926.0,Industrials,Electrical Equipment & Parts,https://www.vertiv.com,34000.0,307.34,256.922,182.355,68.539,65.473,61.128,53.027,316.804,229.773,0.605,282.235,272.08,240.1,217.723,False,False,False,False,False,False,False,382598464
GLW,Corning Inc.,141204858906.0,Technology,Electronic Components,https://www.corning.com,67200.0,164.38,141.727,94.388,74.153,60.97,62.583,57.915,183.235,118.639,0.846,159.12,150.325,136.928,122.796,False,False,False,False,False,False,False,859014837
MU,Micron Technology,513197934589.0,Technology,Semiconductors,https://www.micron.com,53000.0,455.07,406.301,258.064,76.34,62.63,63.37,47.356,480.32,317.202,0.666,417.535,391.316,394.932,366.165,False,False,False,False,False,False,False,1127734051
INTC,Intel,343939200618.0,Technology,Semiconductors,https://www.intel.com,85100.0,68.5,48.99,37.282,83.734,78.199,78.199,61.254,72.329,34.446,1.089,60.775,55.48,45.9,44.775,False,False,False,False,False,False,False,5021010228
STX,Seagate Technology,122709899704.0,Technology,Computer Hardware,https://www.seagate.com,30000.0,547.75,421.663,281.997,94.24,72.434,70.246,61.562,570.46,338.03,0.884,499.285,452.495,389.181,366.416,False,False,False,False,False,False,False,224025376
TER,Teradyne,59552075223.0,Technology,Semiconductor Equipment & Materials,https://www.teradyne.com,6600.0,380.38,316.443,195.301,94.766,70.801,67.037,55.563,394.732,265.18,0.786,345.53,327.27,295.142,269.12,False,False,False,False,False,False,False,156559428
COHR,Coherent Corp.,64684988577.0,Technology,Scientific & Technical Instruments,https://www.coherent.com,30216.0,345.02,257.53,166.628,107.06,72.557,69.326,51.65,340.33,208.469,0.663,296.06,280.335,251.435,233.85,False,False,False,False,False,False,False,187481852
WDC,Western Digital,126298406703.0,Technology,Computer Hardware,https://www.westerndigital.com,40000.0,372.52,292.441,174.07,114.005,70.818,68.473,57.108,386.168,243.874,0.707,337.355,314.02,268.361,240.465,False,False,False,False,False,False,False,339037922
CIEN,Ciena,71749803813.0,Technology,Communication Equipment,https://www.ciena.com,8898.0,507.43,373.594,215.794,135.145,67.093,65.373,61.163,528.421,356.564,0.621,467.565,421.62,311.728,290.985,False,False,False,False,False,False,False,141398427
LITE,Lumentum,63836598000.0,Technology,Communication Equipment,https://www.lumentum.com,10562.0,894.07,703.591,340.185,162.819,61.86,61.65,56.396,954.896,641.486,0.606,865.0,766.865,635.09,550.62,False,False,False,False,False,False,False,71400000
SNDK,Sandisk,135939019202.0,Technology,Computer Hardware,https://www.sandisk.com,11000.0,920.99,679.483,304.558,202.403,67.658,67.556,56.899,994.993,521.258,1.389,826.34,761.792,605.05,480.12,False,False,False,False,False,False,False,147600972
